branches,cache_misses,cache_references,instructions
18661,565,391,120167
17175,748,465,97401
18957,894,506,109034
19548,901,474,111182
18319,854,506,103338
19184,849,480,110863
18660,861,487,104340
18315,875,486,101594
13978,618,351,77708
18032,849,514,100722
19216,872,459,108357
18714,845,472,105576
16803,525,349,113565
18411,563,354,120821
16566,490,323,106970
14847,651,398,85383
18880,857,468,107020
18569,855,471,104775
16375,596,352,103080
18969,853,503,105909
16337,764,426,91714
19156,585,385,124256
11853,435,263,72056
18604,832,500,103009
18362,875,471,99165
16254,770,428,89842
18672,676,423,113915
18850,887,516,105073
19136,912,503,103991
18099,915,604,95259
19013,755,412,109103
18892,848,504,106257
18583,840,494,101859
19520,810,477,108393
